NIM,Program Studi : ,IPK Terakhir : ,Jenis Kelamin,Tinggi Badan : ,Berat Badan : ,Pendidikan terakhir ,Rata-rata belajar perminggu (dalam jam) : ,Apakah penerima beasiswa : ,"Asal Daerah (Kota beserta Provinsi) : 
Ex : Padang, Sumatera Barat ",Pekerjaan saat ini (selain kuliah) ,Akses Internet (yang paling sering digunakan) ,Keterlibatan Organisai ,"Uang Saku : 
(yang diberikan oleh orangtua)","Jenis Tempat Tinggal : 
(Tempat tinggal saat ini) ",Jarak rumah dari kampus ITERA :  ,Jenis pekerjaan Ayah : ,Jenis pekerjaan Ibu : ,Pendapatan Orangtua : ,Jumlah Anggota Keluarga : 
419,Rekayasa kosmetik,-,Perempuan,160,48,SMA,2,Tidak,"Bandar lampung , lampung ",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Tinggal besama orangtua,1 km - 2 km,Karyawan Swasta,Ibu Rumah Tangga,< 1jt,6
420,Sains Data ,3.25,Laki-laki,175,64,SMA,3,Tidak,"Kota Bandar Lampung, Lampung",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Karyawan Swasta,Ibu Rumah Tangga,7 jt - 9 jt,4
421,Sains Data ,-,Perempuan,168,75,SMA,2-3,Tidak,"Lampung Selatan, Lampung ",Tidak bekerja,Wi-Fi pribadi,Lainnya,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,4
422,Teknik Biomedis,3.7,Perempuan,164,51,SMA,3-5 jam,Tidak,"palembang, sumatera selatan",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,> 2 jt,Kos,1 km - 2 km,Karyawan Swasta,PNS,5 jt - 7 jt,4
423,Teknik Pertambangan ,"3,5",Laki-laki,177 cm,72 kg,SMA,40 jam,Tidak,"OKU TIMUR, Sumatera Selatan",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Rumah mengontrak bersama-sama,> 5 km,Petani/ Nelayan,Ibu Rumah Tangga,3 jt - 5jt,7
424,Teknik Sipil,4,Perempuan,170,49,SMA,3-4 jam ,Tidak,"Palembang, Sumatera Selatan",Tidak bekerja,Fasilitas Kampus,Tidak Aktif,500k s.d 1 jt,Kos,< 1 km,Pensiunan,Karyawan Swasta,3 jt - 5jt,4
425,Teknik Informatika ,3.66,Laki-laki,168,60,SMK,3,Tidak,"Bandar lampung, Lampung ",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,PNS,PNS,5 jt - 7 jt,5
426,Fisika,3.48,Laki-laki,175,54,SMA,35 jam karna 1 hari belajar nya 5 jam (belajar nya dalam hal ngerjain tugas dan bahas soal),Ya,"Toba, Sumatera Utara",Paruh Waktu,Fasilitas Kampus,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,1 km - 2 km,Petani/ Nelayan,Petani/ Nelayan,< 1jt,4 bersaudara
427,Teknik Kimia ,"3,5",Laki-laki,172,80,SMA,5,Tidak,Lampung ,Paruh Waktu,Paket Data Seluler,Lainnya,500k s.d 1 jt,Rumah mengontrak bersama-sama,> 5 km,Wiraswata,Ibu Rumah Tangga,< 1jt,3
428,Perencanaan Wilayah dan Kota,-,Perempuan,158 cm,50 kg,SMA,5 jam,Tidak,"Medan, Sumatera Utara",Tidak bekerja,Paket Data Seluler,Tidak Aktif,"1,5 jt s.d 2 jt",Kos,1 km - 2 km,Lainnya,Ibu Rumah Tangga,5 jt - 7 jt,5
429,Arl,"3,74",Perempuan,160,59,SMA,10,Tidak,"Toba, Sumatera Utara ",Tidak bekerja,Wi-Fi pribadi,Lainnya,500k s.d 1 jt,Rumah mengontrak bersama-sama,> 5 km,Petani/ Nelayan,Ibu Rumah Tangga,< 1jt,5
430,Teknik Geologi ,3.39,Perempuan,160,43,SMA,28 jam,Ya,"Lampung Selatan, Lampung ",Tidak bekerja,Paket Data Seluler,Lainnya,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Wiraswata,Lainnya,1jt - 3jt,3
431,Sains Atmosfer dan Keplanetan ,3.3,Perempuan,153,50,SMA,28 jam,Tidak,"Ogan Komering Ilir, Sumatera Selatan ",Tidak bekerja,Paket Data Seluler,Lainnya,"1,5 jt s.d 2 jt",Kos,2 km - 3 km,Wiraswata,PNS,3 jt - 5jt,3
432,Sains Data,-,Laki-laki,182,78,SMA,14 jam,Tidak,Metro,Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Rumah mengontrak Pribadi,2 km - 3 km,Wiraswata,Ibu Rumah Tangga,1jt - 3jt,4
433,arsitektur ,"3,2",Laki-laki,178,87,SMK,24,Tidak,"Bireuen, aceh",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Rumah mengontrak bersama-sama,2 km - 3 km,Lainnya,PNS,3 jt - 5jt,5
434,Teknik Biomedis,3.54,Perempuan,150,46,SMA,2-3,Tidak,"Palembang, Sumatera Selatan",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,"1,5 jt s.d 2 jt",Kos,> 5 km,Lainnya,Ibu Rumah Tangga,> 9jt,8
435,Sains Data,"3,68",Laki-laki,168,54,SMA,3,Tidak,"Bandar Lampung, Lampung",Paruh Waktu,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Tinggal besama orangtua,2 km - 3 km,Pensiunan,Lainnya,5 jt - 7 jt,4
436,Sains Data ,0,Perempuan,154,53,SMA,5,Tidak,"Tapanuli Utara, Sumatera Utara ",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,< 1 km,Petani/ Nelayan,PNS,1jt - 3jt,6
437,Sains data ,-,Laki-laki,167,46,SMA,4,Tidak,"Palembang, Sumatera Selatan ",Tidak bekerja,Paket Data Seluler,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,2 km - 3 km,PNS,PNS,> 9jt,4
438,Sains Data,-,Perempuan,163 cm,47 kg,SMA,7,Ya,"Bangunrejo,Lampung Tengah",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,> 5 km,Karyawan Swasta,Ibu Rumah Tangga,1jt - 3jt,5
439,Sains data,-,Perempuan,158,51,SMA,12,Tidak,"Pesawaran,  lampung",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,< 1 km,PNS,Ibu Rumah Tangga,3 jt - 5jt,4
440,Sains Data ,-,Perempuan,156,52,SMA,10,Ya,"Kabanjahe, Sumatera Utara ",Tidak bekerja,Wi-Fi pribadi,Lainnya,500k s.d 1 jt,Kos,1 km - 2 km,Petani/ Nelayan,Petani/ Nelayan,1jt - 3jt,5
441,Teknik Geofisika,-,Laki-laki,168,55,SMA,3,Ya,"Langkat, Sumatera Utara",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,"1 jt s.d 1,5 jt",Asrama,< 1 km,Lainnya,Lainnya,1jt - 3jt,6
442,Sains Data,-,Perempuan,161,62,SMA,10,Tidak,Lampung,Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Kos,> 5 km,Karyawan Swasta,Ibu Rumah Tangga,3 jt - 5jt,5
443,Teknik Pertambangan,-,Laki-laki,192,70,SMA,3,Tidak,"Bandar Lampung, Lampung",Paruh Waktu,Wi-Fi pribadi,Lainnya,> 2 jt,Tinggal besama orangtua,> 5 km,Karyawan Swasta,Ibu Rumah Tangga,3 jt - 5jt,2
444,Teknik Biomedis ,9,Perempuan,154,45,SMA,20 jam,Ya,Jogja,Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Rumah mengontrak bersama-sama,1 km - 2 km,Lainnya,Lainnya,1jt - 3jt,7
445,Teknik Informatika,2.76,Laki-laki,181,88,SMA,4,Tidak,"Tangerang Selatan, Banten",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,> 2 jt,Kos,1 km - 2 km,Karyawan Swasta,Karyawan Swasta,> 9jt,4
446,Sains Atmosfir dan Keplanetan ,"3,8",Laki-laki,173,51,SMA,2,Tidak,"Pariaman, Sumatera Barat ",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Kos,1 km - 2 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,6
447,Sains Data,-,Perempuan,160 cm,45 kg,SMK,3 jam,Tidak,Bandar lampung,Paruh Waktu,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Tinggal besama orangtua,1 km - 2 km,Lainnya,Ibu Rumah Tangga,< 1jt,2
448,Sains Data,-,Perempuan,150,45,SMA,9 jam,Ya,"Lampung Utara, Lampung",Tidak bekerja,Wi-Fi pribadi,Lainnya,500k s.d 1 jt,Kos,> 5 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,5
449,Sains Data,-,Perempuan,160,42,,4 jam,Tidak,"Lampung Tengah, Lampung",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Asrama,> 5 km,Karyawan Swasta,Ibu Rumah Tangga,3 jt - 5jt,4
450,Biologi,3.78,Perempuan,155,49,SMK,7 jam,Tidak,"Lampung, Bandar Lampung",Tidak bekerja,Wi-Fi pribadi,Lainnya,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Karyawan Swasta,Ibu Rumah Tangga,3 jt - 5jt,5
451,Sains Data,-,Laki-laki,153,49,SMA,5 Jam,Tidak,"Pekanbaru, Riau",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,"1,5 jt s.d 2 jt",Kos,< 1 km,Karyawan Swasta,Ibu Rumah Tangga,5 jt - 7 jt,5
452,Sains Data ,-,Laki-laki,181,63,SMA,9 jam ,Tidak,"Bekasi, Jawa Barat",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,1 km - 2 km,Wiraswata,Karyawan Swasta,7 jt - 9 jt,5
453,Teknik biomed ,"3,",Laki-laki,174,65,SMA,20,Tidak,"Agam, sumatera barat ",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,2 km - 3 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,9
454,Sains Data,-,Laki-laki,170,58,SMA,2 jam,Ya,"Lampung Selatan, Lampung",Paruh Waktu,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,5
455,Sains Data,-,Perempuan,158,55,SMA,18 jam,Tidak,Sumatera Selatan,Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,< 1 km,Wiraswata,PNS,3 jt - 5jt,5
456,Teknik Biomedis,-,Perempuan,158,45,SMA,32,Tidak,"Palembang, Sumatera Selatan",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Kos,< 1 km,Karyawan Swasta,Karyawan Swasta,3 jt - 5jt,6
457,Sains Data ,-,Laki-laki,178cm,60kg,SMA,40,Tidak,"Pekanbaru, Riau",Tidak bekerja,Fasilitas Kampus,Tidak Aktif,500k s.d 1 jt,Kos,2 km - 3 km,Pensiunan,Lainnya,< 1jt,3
458,Sains Data,-,Laki-laki,175,65,SMA,-,Tidak,"Bekasi,Jawa Barat",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,1 km - 2 km,Karyawan Swasta,Ibu Rumah Tangga,3 jt - 5jt,4
